YEAR,TRANSACTION_DATE,AID_SOURCE,INTERNAL_AID,CATEGORY,STYP,LEVL,RESD,EKU_ONLINE,AMOUNT
2425,24SEP2024:00:00:00,I,SC,IG,T,UG,R,N,-1351.000
2425,24SEP2024:00:00:00,I,SM,IG,C,UG,R,Y,-2793.000
2425,24SEP2024:00:00:00,I,SM,IG,P,GR,R,Y,-2027.010
2425,24SEP2024:00:00:00,I,SM,IG,R,GR,R,Y,55.000
2425,24SEP2024:00:00:00,I,SM,IG,R,UG,R,N,5650.000
2425,24SEP2024:00:00:00,N,NO,TF,C,GR,O,Y,2027.000
2425,24SEP2024:00:00:00,N,NO,TF,C,GR,R,N,1130.000
2425,24SEP2024:00:00:00,N,NO,TF,C,GR,R,Y,-2080.000
2425,24SEP2024:00:00:00,N,NO,TF,C,UG,O,N,-1090.500
2425,24SEP2024:00:00:00,N,NO,TF,C,UG,O,Y,-877.500
2425,24SEP2024:00:00:00,N,NO,TF,C,UG,R,N,1645.500
2425,24SEP2024:00:00:00,N,NO,TF,C,UG,R,Y,-4066.000
2425,24SEP2024:00:00:00,N,NO,TF,J,UG,R,N,285.000
2425,24SEP2024:00:00:00,N,NO,TF,N,UG,O,Y,-1837.000
2425,24SEP2024:00:00:00,N,NO,TF,N,UG,R,N,-1587.000
2425,24SEP2024:00:00:00,N,NO,TF,N,UG,R,Y,-1705.500
2425,24SEP2024:00:00:00,N,NO,TF,P,GR,O,Y,0.000
2425,24SEP2024:00:00:00,N,NO,TF,P,GR,R,Y,-4280.000
2425,24SEP2024:00:00:00,N,NO,TF,R,GR,R,N,54.750
2425,24SEP2024:00:00:00,N,NO,TF,R,GR,R,Y,4079.000
2425,24SEP2024:00:00:00,N,NO,TF,R,UG,R,N,85.000
2425,24SEP2024:00:00:00,N,NO,TF,T,UG,O,N,0.000
2425,24SEP2024:00:00:00,N,NO,TF,T,UG,O,Y,-67.000
2425,24SEP2024:00:00:00,N,NO,TF,T,UG,R,Y,2632.800
2425,25SEP2024:00:00:00,E,NO,FG,C,UG,R,Y,535.000
2425,25SEP2024:00:00:00,E,NO,OG,C,GR,R,Y,1483.000
2425,25SEP2024:00:00:00,E,NO,OG,C,UG,O,N,15000.000
2425,25SEP2024:00:00:00,E,NO,OG,C,UG,O,Y,2000.000
2425,25SEP2024:00:00:00,E,NO,OG,C,UG,R,N,11660.000
2425,25SEP2024:00:00:00,E,NO,OG,C,UG,R,Y,8539.000
2425,25SEP2024:00:00:00,E,NO,OG,P,GR,R,Y,4218.000
2425,25SEP2024:00:00:00,E,NO,OG,T,UG,R,N,1512.500
2425,25SEP2024:00:00:00,E,NO,SG,C,UG,R,N,4367.500
2425,25SEP2024:00:00:00,E,NO,SG,C,UG,R,Y,6501.000
2425,25SEP2024:00:00:00,E,NO,SG,N,UG,R,N,4180.500
2425,25SEP2024:00:00:00,I,AS,IG,N,UG,R,N,1250.000
2425,25SEP2024:00:00:00,I,EM,IG,C,GR,R,N,198.000
2425,25SEP2024:00:00:00,I,FC,IG,N,UG,R,N,25653.000
2425,25SEP2024:00:00:00,I,SC,IG,C,UG,O,N,1447.700
2425,25SEP2024:00:00:00,I,SC,IG,C,UG,R,N,8686.200
2425,25SEP2024:00:00:00,I,SC,IG,N,UG,R,N,-46290.000
2425,25SEP2024:00:00:00,I,SM,IG,C,UG,R,Y,39449.000
2425,25SEP2024:00:00:00,I,SM,IG,N,UG,R,Y,-1248.000
2425,25SEP2024:00:00:00,I,SM,IG,T,UG,R,Y,16758.000
2425,25SEP2024:00:00:00,N,NO,TF,C,GR,R,Y,18.000
2425,25SEP2024:00:00:00,N,NO,TF,C,UG,O,N,5952.000
2425,25SEP2024:00:00:00,N,NO,TF,C,UG,O,Y,0.000
2425,25SEP2024:00:00:00,N,NO,TF,C,UG,R,N,27725.500
2425,25SEP2024:00:00:00,N,NO,TF,C,UG,R,Y,1439.630
2425,25SEP2024:00:00:00,N,NO,TF,J,UG,R,N,570.000
2425,25SEP2024:00:00:00,N,NO,TF,N,UG,O,N,12.500
2425,25SEP2024:00:00:00,N,NO,TF,N,UG,R,N,13751.500
2425,25SEP2024:00:00:00,N,NO,TF,N,UG,R,Y,-1918.000
2425,25SEP2024:00:00:00,N,NO,TF,P,GR,O,Y,-1977.000
2425,25SEP2024:00:00:00,N,NO,TF,R,GR,O,N,18.000
2425,25SEP2024:00:00:00,N,NO,TF,R,GR,R,Y,2189.000
2425,25SEP2024:00:00:00,N,NO,TF,R,UG,R,N,1050.000
2425,25SEP2024:00:00:00,N,NO,TF,R,UG,R,Y,2793.000
2425,25SEP2024:00:00:00,N,NO,TF,T,UG,O,Y,2793.000
2425,25SEP2024:00:00:00,N,NO,TF,T,UG,R,Y,2793.000
2425,26SEP2024:00:00:00,E,NO,FG,C,UG,O,Y,-890.000
2425,26SEP2024:00:00:00,E,NO,FG,C,UG,R,N,21956.000
2425,26SEP2024:00:00:00,E,NO,FG,C,UG,R,Y,-1050.000
2425,26SEP2024:00:00:00,E,NO,FG,N,UG,R,N,11094.000
2425,26SEP2024:00:00:00,E,NO,FG,N,UG,R,Y,-2917.000
2425,26SEP2024:00:00:00,E,NO,FG,R,UG,R,Y,3318.000
2425,26SEP2024:00:00:00,E,NO,FG,T,UG,O,N,3698.000
2425,26SEP2024:00:00:00,E,NO,FG,T,UG,O,Y,-4185.000
2425,26SEP2024:00:00:00,E,NO,FG,T,UG,R,N,3402.000
2425,26SEP2024:00:00:00,E,NO,FG,T,UG,R,Y,2773.000
2425,26SEP2024:00:00:00,E,NO,OG,C,UG,O,N,1000.000
2425,26SEP2024:00:00:00,E,NO,OG,C,UG,R,N,2700.000
2425,26SEP2024:00:00:00,E,NO,OG,N,UG,O,N,500.000
