YEAR,EFFECTIVE_DATE,STYP,LEVL,RESD,EKU_ONLINE,HOURS,FTE
2324,30OCT2023:00:00:00,T,UG,R,N,6089,429.29000
2324,30OCT2023:00:00:00,T,UG,R,Y,4937,394.00000
2324,30OCT2023:00:00:00,U,GR,R,N,68,7.56000
2324,30OCT2023:00:00:00,X,GR,R,N,3,0.33000
2324,31OCT2023:00:00:00,C,GR,O,N,1115,112.67000
2324,31OCT2023:00:00:00,C,GR,O,Y,3427,376.33000
2324,31OCT2023:00:00:00,C,GR,R,N,6683,682.28000
2324,31OCT2023:00:00:00,C,GR,R,Y,5966,648.22000
2324,31OCT2023:00:00:00,C,UG,O,N,16797,1132.29000
2324,31OCT2023:00:00:00,C,UG,O,Y,6195,488.29000
2324,31OCT2023:00:00:00,C,UG,R,N,125437,8638.46000
2324,31OCT2023:00:00:00,C,UG,R,Y,18771,1479.58000
2324,31OCT2023:00:00:00,N,UG,R,N,36437,2430.13000
2324,31OCT2023:00:00:00,N,UG,R,Y,1996,153.13000
2324,31OCT2023:00:00:00,P,GR,R,N,2521,241.39000
2324,31OCT2023:00:00:00,P,GR,R,Y,2310,245.56000
2324,31OCT2023:00:00:00,R,GR,O,Y,48,5.33000
2324,31OCT2023:00:00:00,R,GR,R,N,337,37.11000
2324,31OCT2023:00:00:00,R,UG,O,Y,398,31.75000
2324,31OCT2023:00:00:00,R,UG,R,N,1697,127.33000
2324,31OCT2023:00:00:00,R,UG,R,Y,1936,154.17000
2324,31OCT2023:00:00:00,T,UG,R,N,6232,439.88000
2324,31OCT2023:00:00:00,T,UG,R,Y,5034,401.88000
2324,01NOV2023:00:00:00,C,GR,O,N,1144,115.56000
2324,01NOV2023:00:00:00,C,GR,O,Y,3511,385.67000
2324,01NOV2023:00:00:00,C,GR,R,N,6860,700.61000
2324,01NOV2023:00:00:00,C,GR,R,Y,6112,664.22000
2324,01NOV2023:00:00:00,C,UG,O,N,17628,1187.96000
2324,01NOV2023:00:00:00,C,UG,O,Y,6366,501.54000
2324,01NOV2023:00:00:00,C,UG,R,N,137809,9478.38000
2324,01NOV2023:00:00:00,C,UG,R,Y,19926,1571.33000
2324,01NOV2023:00:00:00,J,UG,R,N,3988,332.00000
2324,01NOV2023:00:00:00,N,UG,O,N,3044,202.21000
2324,01NOV2023:00:00:00,N,UG,R,N,36606,2441.71000
2324,01NOV2023:00:00:00,N,UG,R,Y,2075,158.96000
2324,01NOV2023:00:00:00,P,GR,R,Y,2328,247.22000
2324,01NOV2023:00:00:00,R,GR,R,N,346,38.11000
2324,01NOV2023:00:00:00,R,GR,R,Y,360,38.33000
2324,01NOV2023:00:00:00,R,UG,O,N,116,8.42000
2324,01NOV2023:00:00:00,R,UG,R,N,1739,130.58000
2324,01NOV2023:00:00:00,R,UG,R,Y,1964,156.42000
2324,01NOV2023:00:00:00,T,UG,O,Y,1939,155.67000
2324,01NOV2023:00:00:00,T,UG,R,N,6313,446.04000
2324,01NOV2023:00:00:00,T,UG,R,Y,5080,405.25000
2324,01NOV2023:00:00:00,U,UG,R,N,92,7.67000
2324,02NOV2023:00:00:00,C,GR,O,N,1204,121.56000
2324,02NOV2023:00:00:00,C,GR,O,Y,3581,393.11000
