YEAR,STYP,LEVL,RESD,EKU_ONLINE,HOURS,FTE
2324,C,GR,O,N,1888,190.38890
2324,C,GR,O,Y,6124,672.72220
2324,C,GR,R,N,10261,1048.16670
2324,C,GR,R,Y,11058,1202.27780
2324,C,UG,O,N,20854,1401.45830
2324,C,UG,O,Y,11900,928.37500
2324,C,UG,R,N,173045,11935.91670
2324,C,UG,R,Y,35400,2759.25000
2324,H,UG,R,N,125,8.91670
2324,J,UG,R,N,8498,706.83330
2324,N,UG,O,N,3216,217.12500
2324,N,UG,O,Y,520,41.33330
2324,N,UG,R,N,36565,2504.75000
2324,N,UG,R,Y,3445,267.33330
2324,P,GR,O,N,730,69.44440
2324,P,GR,O,Y,1674,182.11110
2324,P,GR,R,N,3987,396.27780
2324,P,GR,R,Y,3546,377.00000
2324,P,UG,R,Y,3,0.25000
2324,R,GR,O,N,66,6.33330
2324,R,GR,O,Y,118,13.11110
2324,R,GR,R,N,553,60.44440
2324,R,GR,R,Y,564,59.83330
2324,R,UG,O,N,151,11.16670
2324,R,UG,O,Y,676,53.91670
2324,R,UG,R,N,2494,187.75000
2324,R,UG,R,Y,3492,278.70830
2324,T,UG,O,N,1768,125.16670
2324,T,UG,O,Y,3058,246.75000
2324,T,UG,R,N,8051,583.25000
2324,T,UG,R,Y,9300,743.25000
2324,U,GR,O,N,24,2.33330
2324,U,GR,R,N,165,18.00000
2324,U,GR,R,Y,3,0.33330
2324,U,UG,O,N,6,0.50000
2324,U,UG,O,Y,30,2.50000
2324,U,UG,R,N,208,17.33330
2324,U,UG,R,Y,183,15.25000
2324,X,GR,R,N,6,0.66670
2324,X,GR,R,Y,6,0.66670
2324,X,UG,O,N,18,1.50000
2324,X,UG,R,N,43,3.58330
2324,X,UG,R,Y,118,9.83330
2021,J,UG,O,N,9,0.75000
2021,J,UG,R,N,6288,521.83330
2021,N,UG,O,N,4619,309.58330
2021,N,UG,O,Y,369,29.41670
2021,N,UG,R,N,27641,1879.91670
2021,N,UG,R,Y,1054,82.83330
2021,P,GR,O,N,762,73.66670
2021,P,GR,O,Y,1443,159.66670
2021,P,GR,R,N,3192,303.11110
2021,P,GR,R,Y,1806,198.11110
2021,P,UG,R,N,4,0.33330
2021,R,GR,O,N,18,2.00000
2021,R,GR,O,Y,79,8.77780
2021,R,GR,R,N,357,38.66670
2021,R,GR,R,Y,278,30.50000
2021,R,UG,O,N,115,8.79170
2021,R,UG,O,Y,366,30.00000
2021,R,UG,R,N,2034,151.50000
2021,R,UG,R,Y,1901,151.58330
2021,T,UG,O,N,1104,77.58330
2021,T,UG,O,Y,2196,174.33330
2021,T,UG,R,N,5592,396.83330
2021,T,UG,R,Y,3689,299.50000
2021,U,GR,O,N,39,4.33330
2021,U,GR,O,Y,3,0.33330
2021,U,GR,R,N,301,32.88890
2021,U,GR,R,Y,6,0.66670
2021,U,UG,O,N,16,1.33330
2021,U,UG,O,Y,74,5.91670
2021,U,UG,R,N,253,21.08330
2021,U,UG,R,Y,194,16.16670
2021,X,GR,R,N,6,0.66670
2021,X,UG,O,N,9,0.75000
2021,X,UG,O,Y,26,2.16670
2021,X,UG,R,N,119,9.91670
2021,X,UG,R,Y,160,13.29170
2122,C,GR,O,N,2142,218.44440
2122,C,GR,O,Y,7866,870.05560
2122,C,GR,R,N,11127,1137.38890
2122,C,GR,R,Y,9008,988.05560
2122,C,UG,O,N,23584,1619.58330
2122,C,UG,O,Y,11748,937.29170
2122,C,UG,R,N,162414,11441.83330
2021,C,GR,O,N,2350,238.05560
2021,C,GR,O,Y,9054,1002.50000
2021,C,GR,R,N,12615,1284.94440
2021,C,GR,R,Y,9176,1011.33330
2021,C,UG,O,N,25203,1693.20830
2021,C,UG,O,Y,14756,1162.20830
2021,C,UG,R,N,180483,12534.54170
2021,C,UG,R,Y,26220,2069.08330
2021,G,GR,R,N,6,0.66670
2021,H,UG,R,N,64,5.33330
2122,C,UG,R,Y,26514,2105.54170
2122,H,UG,R,N,144,12.00000
2122,J,UG,R,N,5621,468.41670
2122,N,UG,O,N,4142,278.33330
2122,N,UG,O,Y,514,40.58330
2122,N,UG,R,N,32329,2229.00000
2122,N,UG,R,Y,1755,137.66670
2122,P,GR,O,N,797,77.33330
2122,P,GR,O,Y,1646,180.11110
2122,P,GR,R,N,3544,348.77780
2122,P,GR,R,Y,3006,322.38890
2122,P,UG,R,N,6,0.50000
2122,R,GR,O,N,34,3.33330
2122,R,GR,O,Y,111,12.00000
2122,R,GR,R,N,461,49.77780
2122,R,GR,R,Y,437,48.11110
2122,R,UG,O,N,157,12.25000
2122,R,UG,O,Y,434,34.75000
2122,R,UG,R,N,2482,187.95830
2122,R,UG,R,Y,2317,187.83330
2122,T,UG,O,N,1829,126.75000
2122,T,UG,O,Y,2692,217.75000
2122,T,UG,R,N,8238,594.41670
2122,T,UG,R,Y,6631,534.41670
2122,U,GR,O,N,27,2.66670
2122,U,GR,R,N,266,28.22220
2122,U,GR,R,Y,18,2.00000
2122,U,UG,O,N,3,0.25000
2122,U,UG,O,Y,27,2.25000
2122,U,UG,R,N,224,18.58330
2122,U,UG,R,Y,241,20.08330
2122,X,GR,R,N,10,1.11110
2122,X,UG,O,N,6,0.50000
2122,X,UG,O,Y,41,3.41670
2122,X,UG,R,N,71,5.91670
2122,X,UG,R,Y,136,11.33330
2425,C,GR,O,N,1558,149.66670
2425,C,GR,O,Y,4271,465.44440
2425,C,GR,R,N,7143,729.16670
2425,C,GR,R,Y,9039,976.27780
2425,C,UG,O,N,17380,1160.37500
2425,C,UG,O,Y,10268,798.58330
2425,C,UG,R,N,175155,11964.91670
2425,C,UG,R,Y,38352,2942.20830
2425,H,UG,R,N,7,0.58330
2425,J,UG,R,N,9866,818.00000
2425,N,UG,O,N,3632,243.00000
2425,N,UG,O,Y,273,21.83330
2425,N,UG,R,N,37576,2529.16670
2425,N,UG,R,Y,2765,213.00000
2425,P,GR,O,N,584,55.44440
2425,P,GR,O,Y,1526,159.22220
2425,P,GR,R,N,2273,217.33330
2425,P,GR,R,Y,3947,411.72220
2425,R,GR,O,N,59,5.11110
2425,R,GR,O,Y,150,16.66670
2425,R,GR,R,N,329,35.22220
2425,R,GR,R,Y,522,56.33330
2425,R,UG,O,N,175,13.16670
2425,R,UG,O,Y,505,40.91670
2425,R,UG,R,N,2423,182.16670
2425,R,UG,R,Y,3569,283.58330
2425,T,UG,O,N,1860,128.79170
2425,T,UG,O,Y,2451,194.08330
2425,T,UG,R,N,6795,494.45830
2425,T,UG,R,Y,9777,766.33330
2425,U,GR,O,N,6,0.66670
2425,U,GR,O,Y,3,0.33330
2425,U,GR,R,N,94,10.44440
2425,U,UG,O,Y,21,1.75000
2425,U,UG,R,N,107,8.91670
2425,U,UG,R,Y,89,6.83330
2425,X,GR,R,N,9,1.00000
2425,X,UG,O,N,97,7.58330
2425,X,UG,O,Y,3,0.25000
2425,X,UG,R,N,22,1.83330
2425,X,UG,R,Y,19,1.58330
2223,C,GR,O,N,1987,202.88890
2223,C,GR,O,Y,6670,732.61110
2223,C,GR,R,N,10317,1055.27780
2223,C,GR,R,Y,10306,1129.83330
2223,C,UG,O,N,23167,1564.54170
2223,C,UG,O,Y,10952,869.45830
2223,C,UG,R,N,165844,11473.50000
2223,C,UG,R,Y,30818,2403.83330
2223,G,GR,R,Y,3,0.33330
2223,H,UG,R,N,161,12.41670
2223,J,UG,R,N,6616,550.79170
2223,N,UG,O,N,3295,221.83330
2223,N,UG,O,Y,522,42.25000
2223,N,UG,R,N,35635,2428.75000
2223,N,UG,R,Y,2565,198.83330
2223,P,GR,O,N,801,76.66670
2223,P,GR,O,Y,1447,158.77780
2223,P,GR,R,N,3726,366.00000
2223,P,GR,R,Y,3331,359.05560
2223,P,UG,R,Y,9,0.75000
2223,R,GR,O,N,42,4.00000
2223,R,GR,O,Y,128,13.88890
2223,R,GR,R,N,373,39.66670
2223,R,GR,R,Y,425,46.55560
2223,R,UG,O,N,116,8.75000
2223,R,UG,O,Y,488,39.41670
2223,R,UG,R,N,2519,189.12500
2223,R,UG,R,Y,2956,236.08330
2223,T,UG,O,N,1949,134.16670
2223,T,UG,O,Y,2597,209.58330
2223,T,UG,R,N,8523,612.70830
2223,T,UG,R,Y,7142,570.83330
2223,U,GR,O,N,45,5.00000
2223,U,GR,R,N,243,27.00000
2223,U,GR,R,Y,30,3.00000
2223,U,UG,O,N,7,0.58330
2223,U,UG,O,Y,39,3.25000
2223,U,UG,R,N,199,16.50000
2223,U,UG,R,Y,191,15.50000
2223,X,GR,R,N,3,0.33330
2223,X,UG,O,N,23,1.58330
2223,X,UG,O,Y,41,3.41670
2223,X,UG,R,N,47,3.91670
2223,X,UG,R,Y,87,7.25000
